mbti,ENTJ,ENTP,INTJ,INTP,ESTJ,ESFJ,ISTJ,ISFJ,ENFJ,ENFP,INFJ,INFP,ESTP,ESFP,ISTP,ISFP
ENTJ,3,2,4,1,2,1,2,4,2,2,2,2,2,4,2,1
ENTP,2,3,1,4,2,4,2,1,2,2,2,2,2,1,2,4
INTJ,4,1,3,2,2,1,2,4,2,2,2,2,2,4,2,1
INTP,1,4,2,3,2,4,2,1,2,2,2,2,2,1,2,4
ESTJ,2,2,2,2,3,2,1,2,1,4,1,4,2,2,4,2
ESFJ,1,4,1,4,2,3,2,1,2,2,2,2,2,2,2,4
ISTJ,2,2,2,2,1,2,3,2,4,1,4,1,4,2,2,2
ISFJ,4,1,4,1,2,1,2,3,2,2,2,2,2,4,2,2
ENFJ,2,2,2,2,1,2,4,2,3,2,4,1,4,2,1,2
ENFP,2,2,2,2,4,2,1,2,2,3,1,4,1,2,4,2
INFJ,2,2,2,2,1,2,4,2,4,1,3,2,4,2,1,2
INFP,2,2,2,2,4,2,1,2,1,4,2,3,1,2,4,2
ESTP,2,2,2,2,2,2,4,2,4,1,4,1,3,2,1,2
ESFP,4,1,4,1,2,2,2,4,2,2,2,2,2,3,2,1
ISTP,2,2,2,2,4,2,2,2,1,4,1,4,1,2,3,2
ISFP,1,4,1,4,2,4,2,2,2,2,2,2,2,1,2,3
